RUN	com.chapter.backend.LoadTestSimulation	loadtestsimulation	1646397339823	 	3.6.0
USER	Chapter Backend Simulation	START	1646397340107
USER	Chapter Backend Simulation	START	1646397339860
USER	Chapter Backend Simulation	START	1646397340358
USER	Chapter Backend Simulation	START	1646397340608
USER	Chapter Backend Simulation	START	1646397340858
USER	Chapter Backend Simulation	START	1646397341108
USER	Chapter Backend Simulation	START	1646397341358
REQUEST		POST /car-dealer/v1/brands	1646397340654	1646397341272	OK	 
REQUEST		POST /car-dealer/v1/brands	1646397340558	1646397341272	OK	 
REQUEST		POST /car-dealer/v1/brands	1646397341121	1646397341272	OK	 
REQUEST		POST /car-dealer/v1/brands	1646397340871	1646397341274	OK	 
REQUEST		POST /car-dealer/v1/brands	1646397340558	1646397341272	OK	 
REQUEST		POST /car-dealer/v1/brands	1646397340558	1646397341274	OK	 
REQUEST		GET /car-dealer/v1/brands/8	1646397341277	1646397341370	OK	 
REQUEST		GET /car-dealer/v1/brands/6	1646397341277	1646397341371	OK	 
REQUEST		GET /car-dealer/v1/brands/7	1646397341277	1646397341380	OK	 
REQUEST		GET /car-dealer/v1/brands/9	1646397341277	1646397341380	OK	 
REQUEST		GET /car-dealer/v1/brands/4	1646397341277	1646397341380	OK	 
REQUEST		POST /car-dealer/v1/brands	1646397341368	1646397341444	OK	 
REQUEST		GET /car-dealer/v1/brands/5	1646397341277	1646397341377	OK	 
REQUEST		GET /car-dealer/v1/brands/10	1646397341446	1646397341484	OK	 
REQUEST		DELETE /car-dealer/v1/brands/7	1646397341384	1646397341478	OK	 
REQUEST		DELETE /car-dealer/v1/brands/9	1646397341384	1646397341483	OK	 
REQUEST		DELETE /car-dealer/v1/brands/5	1646397341378	1646397341486	OK	 
REQUEST		DELETE /car-dealer/v1/brands/6	1646397341378	1646397341478	OK	 
REQUEST		DELETE /car-dealer/v1/brands/8	1646397341378	1646397341478	OK	 
REQUEST		DELETE /car-dealer/v1/brands/4	1646397341383	1646397341484	OK	 
REQUEST		GET /car-dealer/v1/brands/5	1646397341486	1646397341535	OK	 
REQUEST		GET /car-dealer/v1/brands/9	1646397341484	1646397341535	OK	 
REQUEST		GET /car-dealer/v1/brands/6	1646397341479	1646397341535	OK	 
REQUEST		GET /car-dealer/v1/brands/8	1646397341479	1646397341535	OK	 
REQUEST		GET /car-dealer/v1/brands/7	1646397341479	1646397341535	OK	 
REQUEST		GET /car-dealer/v1/brands/4	1646397341485	1646397341536	OK	 
USER	Chapter Backend Simulation	END	1646397341538
USER	Chapter Backend Simulation	END	1646397341538
USER	Chapter Backend Simulation	END	1646397341539
USER	Chapter Backend Simulation	END	1646397341539
USER	Chapter Backend Simulation	END	1646397341539
USER	Chapter Backend Simulation	END	1646397341539
REQUEST		DELETE /car-dealer/v1/brands/10	1646397341487	1646397341526	OK	 
REQUEST		GET /car-dealer/v1/brands/10	1646397341528	1646397341543	OK	 
USER	Chapter Backend Simulation	END	1646397341544
USER	Chapter Backend Simulation	START	1646397341608
REQUEST		POST /car-dealer/v1/brands	1646397341613	1646397341622	OK	 
REQUEST		GET /car-dealer/v1/brands/11	1646397341624	1646397341630	OK	 
REQUEST		DELETE /car-dealer/v1/brands/11	1646397341631	1646397341638	OK	 
REQUEST		GET /car-dealer/v1/brands/11	1646397341639	1646397341643	OK	 
USER	Chapter Backend Simulation	END	1646397341644
USER	Chapter Backend Simulation	START	1646397341859
REQUEST		POST /car-dealer/v1/brands	1646397341873	1646397341883	OK	 
REQUEST		GET /car-dealer/v1/brands/12	1646397341885	1646397341895	OK	 
REQUEST		DELETE /car-dealer/v1/brands/12	1646397341896	1646397341906	OK	 
REQUEST		GET /car-dealer/v1/brands/12	1646397341907	1646397341912	OK	 
USER	Chapter Backend Simulation	END	1646397341912
USER	Chapter Backend Simulation	START	1646397342105
REQUEST		POST /car-dealer/v1/brands	1646397342112	1646397342142	OK	 
REQUEST		GET /car-dealer/v1/brands/13	1646397342143	1646397342156	OK	 
REQUEST		DELETE /car-dealer/v1/brands/13	1646397342158	1646397342169	OK	 
REQUEST		GET /car-dealer/v1/brands/13	1646397342170	1646397342186	OK	 
USER	Chapter Backend Simulation	END	1646397342187
USER	Chapter Backend Simulation	START	1646397342354
REQUEST		POST /car-dealer/v1/brands	1646397342366	1646397342404	OK	 
REQUEST		GET /car-dealer/v1/brands/14	1646397342408	1646397342423	OK	 
REQUEST		DELETE /car-dealer/v1/brands/14	1646397342426	1646397342443	OK	 
REQUEST		GET /car-dealer/v1/brands/14	1646397342445	1646397342452	OK	 
USER	Chapter Backend Simulation	END	1646397342453
USER	Chapter Backend Simulation	START	1646397342605
REQUEST		POST /car-dealer/v1/brands	1646397342618	1646397342650	OK	 
REQUEST		GET /car-dealer/v1/brands/15	1646397342652	1646397342664	OK	 
REQUEST		DELETE /car-dealer/v1/brands/15	1646397342666	1646397342678	OK	 
REQUEST		GET /car-dealer/v1/brands/15	1646397342679	1646397342691	OK	 
USER	Chapter Backend Simulation	END	1646397342692
USER	Chapter Backend Simulation	START	1646397342856
REQUEST		POST /car-dealer/v1/brands	1646397342869	1646397342890	OK	 
REQUEST		GET /car-dealer/v1/brands/16	1646397342892	1646397342905	OK	 
REQUEST		DELETE /car-dealer/v1/brands/16	1646397342907	1646397342920	OK	 
REQUEST		GET /car-dealer/v1/brands/16	1646397342921	1646397342927	OK	 
USER	Chapter Backend Simulation	END	1646397342928
USER	Chapter Backend Simulation	START	1646397343104
REQUEST		POST /car-dealer/v1/brands	1646397343116	1646397343144	OK	 
REQUEST		GET /car-dealer/v1/brands/17	1646397343145	1646397343156	OK	 
REQUEST		DELETE /car-dealer/v1/brands/17	1646397343158	1646397343164	OK	 
REQUEST		GET /car-dealer/v1/brands/17	1646397343165	1646397343173	OK	 
USER	Chapter Backend Simulation	END	1646397343174
USER	Chapter Backend Simulation	START	1646397343354
REQUEST		POST /car-dealer/v1/brands	1646397343366	1646397343395	OK	 
REQUEST		GET /car-dealer/v1/brands/18	1646397343397	1646397343406	OK	 
REQUEST		DELETE /car-dealer/v1/brands/18	1646397343409	1646397343419	OK	 
REQUEST		GET /car-dealer/v1/brands/18	1646397343421	1646397343429	OK	 
USER	Chapter Backend Simulation	END	1646397343430
USER	Chapter Backend Simulation	START	1646397343604
REQUEST		POST /car-dealer/v1/brands	1646397343615	1646397343654	OK	 
REQUEST		GET /car-dealer/v1/brands/19	1646397343657	1646397343672	OK	 
REQUEST		DELETE /car-dealer/v1/brands/19	1646397343675	1646397343694	OK	 
REQUEST		GET /car-dealer/v1/brands/19	1646397343696	1646397343706	OK	 
USER	Chapter Backend Simulation	END	1646397343707
USER	Chapter Backend Simulation	START	1646397343855
REQUEST		POST /car-dealer/v1/brands	1646397343867	1646397343900	OK	 
REQUEST		GET /car-dealer/v1/brands/20	1646397343902	1646397343918	OK	 
REQUEST		DELETE /car-dealer/v1/brands/20	1646397343920	1646397343928	OK	 
REQUEST		GET /car-dealer/v1/brands/20	1646397343932	1646397343939	OK	 
USER	Chapter Backend Simulation	END	1646397343940
USER	Chapter Backend Simulation	START	1646397344104
REQUEST		POST /car-dealer/v1/brands	1646397344116	1646397344133	OK	 
REQUEST		GET /car-dealer/v1/brands/21	1646397344134	1646397344146	OK	 
REQUEST		DELETE /car-dealer/v1/brands/21	1646397344148	1646397344161	OK	 
REQUEST		GET /car-dealer/v1/brands/21	1646397344162	1646397344177	OK	 
USER	Chapter Backend Simulation	END	1646397344178
USER	Chapter Backend Simulation	START	1646397344354
REQUEST		POST /car-dealer/v1/brands	1646397344365	1646397344385	OK	 
REQUEST		GET /car-dealer/v1/brands/22	1646397344387	1646397344403	OK	 
REQUEST		DELETE /car-dealer/v1/brands/22	1646397344405	1646397344419	OK	 
REQUEST		GET /car-dealer/v1/brands/22	1646397344420	1646397344425	OK	 
USER	Chapter Backend Simulation	END	1646397344426
USER	Chapter Backend Simulation	START	1646397344605
REQUEST		POST /car-dealer/v1/brands	1646397344616	1646397344648	OK	 
REQUEST		GET /car-dealer/v1/brands/23	1646397344650	1646397344665	OK	 
REQUEST		DELETE /car-dealer/v1/brands/23	1646397344669	1646397344688	OK	 
REQUEST		GET /car-dealer/v1/brands/23	1646397344691	1646397344699	OK	 
USER	Chapter Backend Simulation	END	1646397344700
