RUN	com.chapter.backend.LoadTestSimulation	loadtestsimulation	1646397042212	 	3.6.0
REQUEST		GET /car-dealer/v1/brands/44	1646397046021	1646397046031	OK	 
REQUEST		DELETE /car-dealer/v1/brands/44	1646397046033	1646397046056	OK	 
REQUEST		GET /car-dealer/v1/brands/44	1646397046058	1646397046071	OK	 
USER	Chapter Backend Simulation	END	1646397046072
USER	Chapter Backend Simulation	START	1646397046241
REQUEST		POST /car-dealer/v1/brands	1646397046253	1646397046276	OK	 
REQUEST		GET /car-dealer/v1/brands/45	1646397046277	1646397046289	OK	 
REQUEST		DELETE /car-dealer/v1/brands/45	1646397046291	1646397046304	OK	 
REQUEST		GET /car-dealer/v1/brands/45	1646397046306	1646397046321	OK	 
USER	Chapter Backend Simulation	END	1646397046322
USER	Chapter Backend Simulation	START	1646397046490
REQUEST		POST /car-dealer/v1/brands	1646397046500	1646397046532	OK	 
REQUEST		GET /car-dealer/v1/brands/46	1646397046533	1646397046545	OK	 
REQUEST		DELETE /car-dealer/v1/brands/46	1646397046547	1646397046566	OK	 
REQUEST		GET /car-dealer/v1/brands/46	1646397046567	1646397046574	OK	 
USER	Chapter Backend Simulation	END	1646397046575
USER	Chapter Backend Simulation	START	1646397046740
REQUEST		POST /car-dealer/v1/brands	1646397046750	1646397046778	OK	 
REQUEST		GET /car-dealer/v1/brands/47	1646397046780	1646397046793	OK	 
REQUEST		DELETE /car-dealer/v1/brands/47	1646397046795	1646397046805	OK	 
REQUEST		GET /car-dealer/v1/brands/47	1646397046807	1646397046814	OK	 
USER	Chapter Backend Simulation	END	1646397046815
USER	Chapter Backend Simulation	START	1646397046991
REQUEST		POST /car-dealer/v1/brands	1646397047002	1646397047032	OK	 
REQUEST		GET /car-dealer/v1/brands/48	1646397047035	1646397047043	OK	 
REQUEST		DELETE /car-dealer/v1/brands/48	1646397047045	1646397047068	OK	 
REQUEST		GET /car-dealer/v1/brands/48	1646397047069	1646397047077	OK	 
USER	Chapter Backend Simulation	END	1646397047078
